,count,mean,std,min,25%,50%,75%,max
transportation,47.0,0.42501475666808397,0.9033346235067731,-0.8856057581676424,-0.031662244688521926,0.1526433620694665,0.4642144615596814,4.046763238644637
materials,91.0,-0.07371575858974208,1.4048930845069068,-9.042570074533256,-0.2209019571214305,-0.0012904470194521579,0.15766213770739657,7.255625034083482
consumer-services,87.0,-0.16763019999770237,1.3478371224204417,-5.250879347139133,-0.5026318268825258,-0.023237607419960546,0.2571502634232322,6.887542399530725
energy,48.0,0.22235373304170278,1.3853952220371997,-3.625946348901394,-0.13261732018917405,0.16029165435414783,0.37391252340879744,8.37155412708563
pharmaceuticals-biotech,76.0,0.07792407938176452,1.018056991520457,-3.7960302940806745,-0.29399389062133097,0.00278723250431033,0.4935579312123871,4.006920937513246
healthcare,101.0,-0.5580389132610786,2.4006913580840217,-13.321629871548897,-0.7544918101405974,-0.1414627195284989,0.24140949185114557,10.684269238777217
consumer-retailing,11.0,-0.18568268887679115,0.41005255272259605,-1.0936964652719883,-0.1809527505418606,-0.048820058417628674,0.043642865561688164,0.22432691457153453
real-estate,107.0,0.008255033236056449,0.5495192759928071,-1.1536551352440612,-0.20051938266700808,-0.005080797800951349,0.13417761256768118,4.461438913141031
capital-goods,91.0,0.20002739291963517,0.7485998236388909,-1.3077142234227719,-0.06839172095883661,0.06814817851273204,0.2872884353439793,3.75658456148264
retail,75.0,0.11626461328973493,1.3039807797230254,-6.148292650161235,-0.35428662136836053,0.07749942912124819,0.46351090301563164,3.960919874474403
software,78.0,0.06951860293146182,2.290525322022104,-7.830176763941523,-0.3308342602334881,0.01370831407677042,0.7546095564179535,7.225114646229491
utilities,33.0,0.031842265916197196,0.3143748551973883,-1.068089801745245,-0.047955113426782214,0.061704184294018916,0.10674554069077008,1.0695220197081834
food-beverage-tobacco,29.0,-0.48506944338669167,1.6082525074575218,-5.6836237496637585,-0.6421025485576116,-0.06942517295818207,0.1078189549470902,2.6112803472629054
telecom,20.0,-0.28452523507936023,0.9241111570107479,-2.8128874788476175,-0.3556830918689188,-0.1241999810523739,0.13334175099759552,1.6830020989263166
automobiles,23.0,0.07097229875540333,0.46390292704199176,-1.385481490635767,-0.07336531299292104,0.0626313963617496,0.25071647030415367,1.449118456736194
diversified-financials,74.0,0.23750496574030625,1.2001787020301664,-4.8048533513583545,-0.10238232006392785,0.07869418785706656,0.3441320581065408,6.766749021559787
consumer-durables,72.0,0.027014313004684057,1.7007588382739205,-6.29602180682465,-0.15019706091409993,0.06712361714681961,0.29668282916074357,5.9254707161360445
household,19.0,0.3118942467311431,0.976048543664866,-1.537461756212231,-0.0730315362239597,0.16891206168280687,0.42127359000299847,3.2865547687696406
tech,74.0,0.12948930933440952,1.2768680064722615,-4.344931799583058,-0.3132904651710939,0.053965151866826634,0.2887441297548128,5.1480063880223526
banks,104.0,0.1496435310130342,0.667126120735268,-1.1528420829927073,-0.11138450412291775,0.0794825061469341,0.2442792872293216,4.779408825722612
insurance,44.0,-0.44456925061899266,1.8433092468534464,-10.20504368026354,-0.18211821050561713,-0.0037081584566976567,0.193463280801009,0.670282476270672
semiconductors,48.0,0.22979762179842844,1.903809207957113,-6.247176549768192,-0.351249366987231,0.08042715794386496,0.4244764159606759,7.572775306847798
commercial-services,62.0,0.10493346940648042,0.8259216551324897,-3.101171468409177,-0.197676724113335,0.02429413282662416,0.23496316681959428,3.8667766105201906
media,67.0,-0.24023833886167506,1.519703144332647,-3.5027485332117743,-0.683097911984597,-0.09424387870951989,0.2492515040162399,5.344300812408466
