,Day +1,Day +2,Day +7,Day +14,Day +28,Day +63
MDC,0.051842228118834474,-0.1217162411693619,-0.23648189337471812,-0.4137082992387137,-0.08283447133145863,-0.4316936072317522
MHO,0.026842242793033,0.07763157392802991,0.2526314885992753,-0.15526322314613744,0.3602632723356548,-0.6968417669597425
TMHC,0.014482958563442888,-0.1017239340420427,-0.2072411898908944,0.2320692128148572,0.3168965372545966,-0.24896536202266298
GOLF,0.006916804847617364,0.1098846795126237,0.3356800897373551,0.529974674642338,0.5233654733382632,0.5641348076818777
GRBK,0.04086969209753949,-0.07608695652173914,0.036956559056821076,0.11086957351021144,0.1769565084706182,0.26652176483817724
SNPO,-0.770000139872233,-1.2700001398722331,-2.193333307902018,-2.553333282470703,-2.546666463216146,-3.913333257039388
MAT,0.03686960089245757,0.09125851361495425,0.13672128430979302,0.0844109223595136,-0.13846104746793306,-0.23114100331264
PII,0.1008623853120088,-0.4117206057477599,-0.7257760264081369,-0.056594095168078555,-0.27474813756470645,-1.569546537654227
PTON,-2.9836644066704645,-8.80355453491211,-9.100330776638454,-7.684665044148763,-9.313332239786783,-2.9608868492974176
HOV,0.8193103362774027,-1.8020688911964153,-3.4624138700551,0.9582759676308468,-4.622069046415132,-9.303620691957144
SKY,0.0074999332427978516,-0.35435874348129204,-0.1454939851029735,0.2635142464116744,0.240180518782374,-0.4318567501270447
SKX,0.30521372037056166,0.11136731123312926,0.34358992332067245,0.08820503797286595,-0.23598285210438263,-0.2028204477750338
LOVE,0.3875000476837158,-0.3249995708465576,1.0587506294250488,0.18500006198883057,0.25375044345855713,0.04125034809112549
CLAR,0.0728765442006404,-0.15786925646235683,-0.056514066981542516,0.1400705579621041,-0.020449907554268097,-0.14586197482006297
BC,-0.04940275018119525,-0.09502738278132798,-0.0006198909633516841,0.4699249669821164,-0.03391902708585803,0.16506192226284094
UAA,-0.019388401761968085,-0.1856649175603339,-0.41385638967473454,-0.6991490506111308,-0.43625003226259923,-0.023882997796890584
BLD,0.08263236597964638,-1.2047374123021175,-1.51999925312243,-0.058947312204461345,0.34158044112356084,1.6031582480982731
TPX,-0.016351155119759164,0.001352972295127437,0.06229257859528729,-0.05553433687338331,-0.012597812139792329,0.0644273175185303
VUZI,-0.20566667517026266,-0.1120000143845876,0.3513333340485891,0.007999962568283081,0.3936666150887807,-0.3029999752839406
VZIO,0.6150000095367432,0.454999844233195,0.4133331775665283,-0.10666680335998535,-0.33333325386047363,-0.6433334350585938
LSEA,0.0733334223429362,0.06666676203409831,-0.05999978383382162,-0.05666653315226237,-0.32999976476033527,-1.0133333206176758
MTH,-0.018539293543606356,-0.07760765020852822,-0.148748126766488,0.2427412493524016,0.8086333606006356,-0.44926402572766416
KTB,0.24912341835318852,0.48109234731516626,0.30661638063491203,0.1833898539013763,1.3881086263877602,1.6281012518530256
JAKK,-0.5706511737505188,-0.4978134246651943,-1.3305635049130842,-3.633296149343265,-2.9710409169316905,-2.9323501322793346
PVH,0.12245636618947103,0.06148310696508456,0.8916847168195255,0.0964416817670184,-0.6908189276596469,-1.33367032669365
ETD,1.1126626264023727,0.19803806015704026,1.3212767546382849,1.604506770439226,0.8966965326567845,0.4399127979402138
CVCO,0.8411535116342398,0.26038367931659406,2.182692674490122,2.4115388576801005,-2.0423081471369815,-6.481922956613394
LGIH,-0.011249542236328125,-0.9999997913837433,-0.9012503921985626,0.7987503111362457,1.4587500393390656,1.6649997532367706
JOUT,-0.07750480028124572,-0.453656613161287,-0.4130659951697361,-0.4370519256888781,-0.9950639770246942,-1.0727525248840715
CROX,-0.07541673133770625,-0.08895868808031082,-0.11916687587896983,0.017083031435807545,0.22895819693803787,-0.6520835310220718
CRCT,-1.6936028123828195,-1.0588830999477195,-0.8747738980387852,-0.48061690160770826,0.8328160674187389,-0.486974091794509
LZB,-0.03426281201207214,-0.007208478074422117,-0.06380357885669241,-0.09267289974805774,0.2039680556645666,0.10501548197235268
WWW,-0.017967021177940256,-0.01918543700242914,-0.13399106910804692,-0.16335614335430293,0.1873877569369249,0.3600237883948747
SONO,0.7982352761661305,0.5717648337869083,0.2523527145385742,0.47588253021240234,0.22176467671113856,-0.10647061291862936
VOXX,0.009259232768306026,-0.050925868528860586,-0.08203699853685167,-0.07629630300733778,-0.1549999846352471,-0.14518511295318604
MHK,0.3103643937544389,0.12981848283247513,0.7692720933393998,0.2632732044566761,-0.1876360459761186,-1.5594538255171342
VFC,0.08717238558981896,-0.030141547761724976,0.23375898553352348,0.35358783344569605,0.5238555332540067,0.34342022046890935
KBH,0.016402200210367215,-0.03904617970798131,-0.11112975307484582,-0.14697758150751805,-0.16910976214182105,-0.25995788137514564
DTC,0.17499995231628418,-0.2500002384185791,-0.8600003719329834,-0.7350001335144043,-0.875,-2.745000123977661
COLM,0.15597643097282782,0.20970384509480483,0.07003340525390662,-0.46417142151208524,-0.416443910157538,0.3547979060591924
NWL,0.02935680599774404,0.07777975842059047,0.045004087625487625,-0.04420206369141925,-0.03152765905674916,-0.11639742964879028
IBP,-0.023994007140975823,-0.4614403719633844,-0.3346587662129284,-0.2983193844451851,1.018291630940931,0.5984393380240415
COOK,-0.6680002689361573,-0.5120001792907715,-1.0620001316070558,-1.8960001468658447,-2.0180003166198732,-3.352000284194946
LEVI,0.3807553849420058,0.09265461742941454,0.2134025902279067,0.43149863639115166,0.22909471572606901,-0.07438451947008354
SWIM,-0.10999997456868489,-0.7399994532267252,-0.34333324432373047,-0.593333880106608,0.48999977111816406,-5.6333333651224775
MPX,0.04896187179457544,0.10693280000758626,0.1940406999556458,0.20697806710821498,0.16939576408778084,0.35792395502072993
MODG,-0.00968269826570793,-0.09670863869171946,0.007860261015988858,-0.03394991293429923,0.0502074737521613,-0.2021880456729828
WHR,-0.1026630750393769,-0.47438243003084657,-0.3340908960957663,-0.2063064498062518,0.1800058798031386,-0.6553259876097314
LEG,0.03349968293169424,-0.007480962596982192,-0.09040800936211046,0.11273705336094003,0.10543758444541138,0.07559541947948055
VRA,-0.006666882832845052,0.004666566848754883,0.15166662534077963,0.21700008710225424,-0.3263334433237712,-0.33466668128967286
VSTO,-0.10300000508626302,-0.30400025049845375,-0.29533344904581704,0.06066675186157226,-0.3020003000895182,-1.376000181833903
MCFT,0.01916662851969401,-0.014166514078776041,-0.19750014940897623,0.07583316167195638,-0.08416660626729329,-1.2100000778834026
HAS,0.04113068577312762,-0.1906987232107483,-0.04243544963016301,-0.44959788303685927,-0.9063523565694729,-0.5080290409393385
OXM,0.43813242355599885,-0.04411040193942144,-0.4584227490387023,-0.8075864474865757,-0.527974220262057,0.4666655298789806
IRBT,0.050961549465472884,-0.014038544434767503,0.18673067826491135,0.8628847965827355,1.0292309430929332,2.490576927478497
CPRI,0.15909041780414004,0.18939347700639206,0.573636430682558,0.3721213485255386,0.31696943803267047,-0.9869698322180546
TPR,-0.022196356724426058,0.008836651222502843,0.15464236225435338,0.240090356850169,0.0017122075535003862,0.04088580397047687
HBI,0.011359831755814212,-0.09293613231432889,0.16498211057210327,0.09081959030812062,0.12523424598512292,0.2291766450101841
GPRO,-0.012031160295009613,-0.185312420129776,-0.42656245827674866,-0.2512500286102295,-0.5143749639391899,-1.1217188015580177
TPH,0.11066656112670899,0.06299988428751628,0.028333091735839845,0.26799983978271485,-0.028333393732706706,-0.24666684468587238
CRI,0.06666736127139422,0.16608844991840033,-0.14297629539319454,-0.24829024611481007,-0.09645908806384755,1.779710296510136
MBUU,0.10217372230861498,-0.29130404928456183,-0.160869432532269,-0.37869594408118207,-0.9300002222475798,-1.6582608430281929
POWW,0.039999927793230326,-0.18571438108171737,-0.47428570474897114,-0.5371429239000592,-0.9214286633900234,-1.2585715225764684
SHOO,0.08542940319474512,-0.022769894886175014,-0.011802800512593905,-0.027148160680448615,-0.07473262137577719,0.2097739700247417
SWBI,-0.9103940926170699,-0.4542577211021218,-0.0999480853603579,0.6567668059169813,-0.2541217797804496,-0.12644821791113028
RGR,0.004484749662554559,0.09508814241181322,-0.5371915124779305,-1.053759176839947,-1.8828528082848301,-0.5464454846230717
CCS,0.33155289445103014,0.4958139207643098,0.25641432999685654,0.2748295577507205,0.5182734327917736,0.17118061302954293
BZH,0.09119024730864025,-0.10452396529061454,0.04261903535752069,0.2504760310763404,0.18452370734441847,0.007856970741635277
