,Day +1,Day +2,Day +7,Day +14,Day +28,Day +63
2012-08-02,0.43089991509981473,-1.2619262118531651,-1.8159496135931477,-9.818412670383054,-9.141277523145021,-10.557100755084576
2013-02-20,-0.6794956564076671,-1.6138156844541243,-0.368066447447589,3.878819206460875,1.1325071611977506,-5.6058877671125344
2013-05-10,0.08896434819361332,-1.4827994718250892,3.795963027756329,5.130484814971354,6.02016223549397,25.91932843229978
2013-08-09,-1.0724517939896145,-1.2392766184689776,-9.437557604566436,-7.5548099097036925,-16.110577857554702,-6.291705069710957
2013-11-08,-0.21929281074908147,-0.9868437907592522,-0.328944444601305,3.6184202614803382,6.9078960783594,13.788374019778075
2014-02-26,-0.04905947961201207,0.7850920576520934,3.3120764092503947,1.815509590136216,7.114822486012855,-8.292437175180993
2014-05-09,0.8423260876179341,4.922344957264642,-1.947885353440867,-0.23690483972498555,6.08054081740957,9.449855209200337
2014-08-08,0.43301576900307737,0.025476659852500916,3.922569998386095,3.107491780084942,3.642385039001539,-9.831882222820113
2014-11-06,-0.6385121032321592,-1.1542269317618832,-1.8909637393924754,-6.704320875236931,-6.286840119222404,-6.262286285151987
2015-03-03,-0.6226649825626112,-1.07098453009678,-1.8430925288753173,-1.4694897388922925,6.724774210785256,-1.2951443038638644
2015-05-09,-0.7795932359553746,-1.4174397894265525,-1.2048242716028312,-1.9135396604135622,-5.031894580624822,-7.7013985240105
2015-08-07,0.3897639517886944,0.4175989240684146,3.4242856894045985,-1.1414250231409397,-4.8440922952881635,2.728294562611808
2015-11-08,-0.4726898543082285,-2.73109470987265,-4.831932941472047,-2.73109470987265,-0.05252220798833207,-17.67332228460286
2016-02-26,0.0,1.111441639258672,3.7548812424843305,7.870227875730478,5.016515839644754,15.199751935824168
2016-05-08,-0.2998004899739186,-1.1174703264056518,-2.8345520298629623,-5.9689253439076,3.079861298475592,1.7443533068976649
2016-07-27,-1.0584850917919653,3.201902765700865,6.05980645686202,9.235241543314004,11.034660142683194,1.9846519762634784
2016-10-28,0.1938405996367436,1.0419197974466954,-4.070754268333758,1.962688064711756,7.269202730128967,8.650350509391942
2017-03-01,-0.515462903949043,-1.3895090693104635,-0.896453878881232,-3.0255457338355285,-1.5463887118471575,1.8825642597396666
2017-05-08,-0.5691199293109577,-0.3082695258775203,-1.7310874411512742,-2.1342133039133415,-5.216971884675843,-0.7114044346377852
2017-08-03,0.2828162409183932,0.09427507716152661,2.121144283303522,1.7911815132381577,2.144708557310821,9.050200624484717
2017-11-08,-0.5812601947367,0.41850804975655365,1.278779523882136,4.394334522443955,-31.80655413087561,-35.59636864930708
2018-03-01,-0.8225131208657075,1.904764185244673,7.359302283624714,5.627702232002434,0.649348987243286,-1.3852800412978326
2018-05-09,-0.30809725765736573,-0.7922464932529749,-6.426052502627016,-7.526404648558,-4.57746056166215,11.399648903446604
2018-08-03,-0.41373761338050485,-2.3169195869868275,-1.117089188710807,-1.4480777011374784,-3.475383326174537,-14.067023615217153
2018-11-02,0.047282406913495834,1.2765979320733152,4.775414879898804,-2.5059044390361294,-1.6075657622707666,-3.073284303801046
2019-02-28,0.6541631772085736,0.17443963212544134,-2.3113854321487963,2.5730490394050065,8.504137939983664,4.317486951339916
2019-05-05,-1.2778213644587169,0.04122105848098556,-1.772466204117606,-2.1022268098525245,-5.23495649539079,-4.28689573666702
2019-08-04,-0.682884529782811,-2.3047413934862817,-1.2377332981224072,-4.524112044967509,-2.5608210569983925,4.097307178696823
2019-11-02,0.16863792869008876,-1.349071265124607,-4.131532759718866,-5.649241953533547,-7.967957185329084,-10.79257816209585
2020-02-27,-1.9607813052594025,-5.48014170958281,-8.748113748177033,-30.015080425098063,-39.46706721308835,-38.10959880660769
2020-05-02,-2.1367521715857265,4.444448429408411,-1.3675200856448413,-13.846153093748043,-2.905984257526626,5.299144407405109
2021-05-01,0.3818859526217864,0.436442575226593,-0.6546690656457628,-1.527554216098963,2.727768696569143,1.09111164087237
2021-07-31,0.899102402897185,-0.949053594971005,1.7981952785786461,2.5474536324701376,1.6983024216467442,20.329668340471457
2021-11-05,0.5015399706171024,-1.658951789776637,-2.8549373801698295,-9.452163409444552,-11.76697233056737,-6.520063769611127
2022-02-25,-1.2394895296777122,-0.6640089310185004,-1.6821649648006058,2.921646051146638,0.7082773188639351,-5.931828877984245
2022-07-28,1.383199033974833,1.639342660450339,-1.178276315792047,1.075814956700654,-1.8442653786331107,-15.317621419055627
