,Day +1,Day +2,Day +7,Day +14,Day +28,Day +63
2021-06-08,-6.1100006103515625,-8.25,-6.489997863769531,-7.0,-10.589996337890625,-10.709999084472656
2021-09-07,-5.879997253417969,-6.239997863769531,-7.408000946044922,-10.450000762939453,-11.259998321533203,-5.119998931884766
2021-12-08,-0.8699989318847656,-1.1450004577636719,-5.700000762939453,-4.540000915527344,-9.299999237060547,-10.549999237060547
2022-03-30,-5.340000152587891,-7.520000457763672,-7.520000457763672,-9.160001754760742,-10.5,-9.64000129699707
2022-06-01,1.6599998474121094,2.5699996948242188,3.520000457763672,1.239999771118164,2.559999465942383,3.799999237060547
2022-09-06,-2.989999771118164,-2.0299997329711914,-1.1900005340576172,-1.8000001907348633,-2.3500003814697266,-4.440000534057617
