,Day +1,Day +2,Day +7,Day +14,Day +28,Day +63
MGY,-0.49566628619281516,-2.911607789077165,-1.4226339905854943,0.28285479785166695,-0.0887256996658501,1.8943797036954466
STNG,0.7596393954268559,0.836767984814287,-0.06391079551335821,-1.2535203754111166,-1.7992612732709725,1.3702027084375434
PTEN,0.17164890062811639,-0.27105237334331056,0.43479183909162783,0.5987095921466941,0.22488658631501443,1.1038111869803213
CNX,0.23991662226543034,-0.6552967539453878,0.2821599233480918,0.09994025074386774,-1.7601393711962736,-2.1315833059259615
ETRN,-0.2574000125560971,0.0816860551436207,-1.7558376981324386,-7.188559559985315,-2.74840167226715,-3.582326398741685
RES,0.20781012132647342,-0.7526555574234426,-0.8764459300090621,-0.0024698158620850563,-0.3439586362291326,-2.6434178429763397
SM,0.018011761390570112,-0.4613342529126885,-0.16076089219031184,-0.09731638660511777,-0.7122473191029909,5.272765015969728
CEIX,0.21587939254810684,2.241806894976972,3.771546668616089,5.002510276472428,5.537490030014571,4.876039476559801
FRO,-0.15050741756765443,-0.8688414224408448,0.8544195817330301,0.5736477491942382,2.7824932774146762,1.7065166085674723
EVA,0.17654114145964492,0.9642200582830385,-1.0224963316148745,-1.5661543752588052,-0.6028654254146708,0.03377261267054298
CLNE,0.44591688208273855,0.7018497728373821,2.265493947134364,2.245560030999261,4.1856033951526745,2.198075022536426
HP,-0.0833807591869528,0.3825915338506418,0.007741078485672246,0.8123658189544112,0.3472874940957313,-0.5004272604140377
AM,-0.5323993363989926,-1.8764185059118705,-1.6566893713003654,-7.213528085902114,-7.675098967333204,-4.619434718949739
XPRO,-0.9621219963328578,-0.8119817030761425,-0.33108169805506904,-1.9191451501842884,-2.9219623783894306,-6.065190082051302
NOG,0.4859363578690333,-0.49709843586130836,-0.6773517157123978,-0.49958934435824676,0.30765096808537856,3.8150252278050116
WHD,0.6759046345021531,1.5863826636275107,1.8955827246654096,-3.820721233452117,-6.583983182146358,-3.107984186425466
RRC,-0.04929053573453047,0.114363570962945,1.038371425534645,0.2193287762228121,-0.8799849352388444,0.8343513713368784
REGI,-0.20877166805734998,0.8870070055240026,0.8191032131188326,1.6962079147400289,5.641140313841041,8.816626022435495
GPRE,0.14724144526316765,0.10591312139834093,0.5001577689965537,3.681357506517046,2.2450081507136157,4.356548482014729
CRK,0.08682771397772626,0.9970843566357735,1.3347946263570991,2.2444605907006907,1.8159743324738415,5.428297750268994
INSW,0.41128727008072447,-0.7543565569412095,-0.627431124759849,-0.006212681824139565,3.3520717016999897,8.588775654957931
NBR,0.0607721302296908,0.161019309794126,-0.2969698609408739,-0.4120178952568057,0.7195899774796982,1.5451170295618402
CRC,0.08197604972935817,-2.4924819881795344,-0.8197098699735316,0.5203208487019992,7.781889833584799,-0.7927174135916127
HPK,-3.625946348901394,-5.629763594318575,9.303439160853927,35.734742393264014,28.101152453582102,1.2404591614436242
CHRD,0.1731032404361847,1.5746897439105283,2.582534055602322,2.198040410107644,4.4477039205000715,4.006896683458531
TALO,0.2008653276899596,-3.3312754331016095,-4.752628368812076,-5.260132567617763,-0.9364978803779754,-1.2942735646638788
CHX,0.8893898733266781,0.016476934987987118,7.521648173738015,6.5457453665131835,1.3214750015261671,0.5045936557606817
BTU,-0.30147143976888735,-1.732571352920707,-1.8358292535287175,2.5851654563827653,-2.4574088611274165,0.24935548863921486
RIG,0.18645560793354876,-0.09693172451316337,-0.1944582275409619,-2.7194025659695384,-6.087520267711299,-2.0877307922594577
ENLC,-0.35890507527484977,-1.5520919696406605,-2.9394978614723573,-2.1457537027612994,2.203092814832453,-3.685421233616369
FTI,0.36324885473242813,0.34984907153488004,0.28518910199421726,-1.868086065412477,-1.1433007971221611,1.2415488194861004
LBRT,-0.12344510994525043,-1.556029193671127,-2.3152337205307543,-3.8795622306583293,-4.458421601108748,-2.527746716221672
MUR,-0.12665395439634725,0.6539445313679266,0.9987183868974248,0.1842886395689215,0.46384836154012293,1.070610394519937
CVI,-0.28634995200918534,0.023119833153683864,-2.454683545358948,-1.0699816996460707,0.8039392000507122,2.771937332538177
ARCH,0.6171114265042021,-0.41071921102691744,0.7967847254530824,1.1531427379266723,1.7963390821608982,3.4191440617996163
GLNG,-0.2227728520144472,0.04260882109446923,0.2618681617539217,-2.1642687457387413,-0.0006020149617099147,-2.619666794808008
AR,0.40623710688842507,0.11306951259097066,-0.18135886965336664,-3.5948088521187156,-5.259082426729376,-3.591669791156416
CPE,-0.11408607572857501,0.45998801354718316,-1.1791180407812898,-4.784506324021384,-0.10643358770743323,3.804767885699535
NFE,-0.39091780914575086,0.44135480734244936,-2.3312418047468477,-5.5854872771260275,-5.051584369173535,0.29937130931412526
NOV,0.3034977785936355,0.6627156495293184,0.19163893756656966,0.31097033985161365,-1.9251680317980824,-0.8058284998524523
HESM,0.4059035294379054,0.6849254363139474,-0.5760367922757768,-0.9091584116496909,-1.3212417793068614,-4.878128705367729
DK,0.2934651045308968,0.10739515597880463,-1.0073780244478576,-0.9372699160165128,-0.19819702717423926,-1.2715547674304712
MTDR,0.17142727860326257,0.6889953491835432,2.2012032740577836,-0.44619660579046055,-0.431242181840331,3.0056052280715746
RTLR,1.7600624582160644,0.0322182798773459,-4.386731869919511,-3.455612236340606,-4.056150322285272,-9.104078161941283
PBF,0.5030841189639915,2.4562152703765583,1.1929828544812031,1.0905446982707503,1.10533410422365,-2.232289802044239
KOS,0.14915603010503312,0.530386181357521,2.7340350036660546,5.161562978147001,8.1903449042129,9.103295057136327
SWN,-0.016805866613964864,-0.26501463599223835,-0.7551773909946615,0.3465334111271923,-0.3599648326270766,2.84256649533235
WFRD,8.37155412708563,-2.5229387648146258,-9.403671405399834,-14.564224987075633,-12.844040459850376,19.438069299529516
